Column name;Data type;Unit;Description;Created where?;used in raw data PCA?;used in all data PCA?;Which aspect does this cover?;TODO
MS2_Density_Q2;int;;50% Quantile of the peak counts per spectrum over all MS2 spectra;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
MS2_Density_Q3;int;;75% Quantile of the peak counts per spectrum over all MS2 spectra;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
MS2_Freq_Max;float;Hz;Highest frequency of MS1 spectra in Herz (iow: the highest number of measured MS2 spectra within 1 minute windows divided by 60);get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
MS2_PrecZ_1;float;;Proportion of MS2 precursors with charge 1;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
MS2_PrecZ_2;float;;Proportion of MS2 precursors with charge 2;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
MS2_PrecZ_3;float;;Proportion of MS2 precursors with charge 3;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
MS2_PrecZ_4;float;;Proportion of MS2 precursors with charge 4;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
MS2_PrecZ_5;float;;Proportion of MS2 precursors with charge 5;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
MS2_PrecZ_Unknown;float;;Proportion of MS2 precursors with unknown charge state (may  happen for older machines);;;;;
MS2_PrecZ_more;float;;Proportion of MS2 precursors with charge 6 and more;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
RT_MS1_Q_000-025;float;;The time interval when the first 25 % of the total number of MS1 spectra are measured, divided by the RT_duration. I.e., how much % of the time did it take to measure the first 25% of MS1 spectra.;;X;X;taken from paper Bittremieux et al. 2016;
RT_MS1_Q_025-050;float;;The time interval when the second 25 % of the total number of MS1 spectra are measured,  divided by the RT_duration.  I.e., how much % of the time did it take to measure the second 25% of MS1 spectra.;;X;X;taken from paper Bittremieux et al. 2016;
RT_MS1_Q_050-075;float;;The time interval when the third 25 % of the total number of MS1 spectra are measured,  divided by the RT_duration.  I.e., how much % of the time did it take to measure the third 25% of MS1 spectra.;;X;X;taken from paper Bittremieux et al. 2016;
RT_MS1_Q_075-100;float;;The time interval when the last 25 % of the total number of MS1 spectra are measured,  divided by the RT_duration.  I.e., how much % of the time did it take to measure the last 25% of MS1 spectra.;;X;X;taken from paper Bittremieux et al. 2016;
RT_TIC_Q_000-025;float;;The time interval when the first 25% of TIC accumulates, divided by the RT_duration, i.e. how much % of time did it take to measure the first 25% of the TIC.;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;taken from paper Bittremieux et al. 2016;
RT_TIC_Q_025-050;float;;The time interval when the second 25% of TIC accumulates, divided by the RT_duration, i.e. how much % of time did it take to measure the second 25% of the TIC.;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;taken from paper Bittremieux et al. 2016;
RT_TIC_Q_050-075;float;;The time interval when the third 25% of TIC accumulates, divided by the RT_duration, i.e. how much % of time did it take to measure the third 25% of the TIC.;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;taken from paper Bittremieux et al. 2016;
RT_TIC_Q_075-100;float;;The time interval when the last 25% of TIC accumulates, divided by the RT_duration, i.e. how much % of time did it take to measure the last 25% of the TIC.;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;taken from paper Bittremieux et al. 2016;
RT_duration;float;seconds;Scan start time of the last measured spectrum;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
Total_Ion_Current_Max;float;;The maximum of all TICs across MS1 and MS2 spectra;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;;;;
accumulated-MS1_TIC;float;;The overall sum over all peaks across all MS1 spectra.;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
accumulated-MS2_TIC;float;;The overall sum over all peaks across all MS2 spectra.;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
feature_data.featureXML.zip;zip;;;;;;;
feature_data.hills.csv.zip;zip;;;;;;;
filename;string;;Name of the corresponding raw file.;;;;;
ms1_rt_array;array;seconds;RAW-Array of the retention times of MS1 spectra;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;;;;
ms1_tic_array;array;;RAW-Array of the TICs of MS1 spectra (to plot tic overlay plot);get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;;;;
ms2_mz_array;array;m/z;RAW-Array of the m/z of the MS2 spectra (to plot ion maps);;;;;
ms2_rt_array;array;seconds;RAW-Array of the retention times of MS2 spectra;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;;;;
ms2_tic_array;array;;RAW-Array of the TICs of MS2 spectra;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
total_num_ms1;int;;Number of measured MS1 spectra;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
;;;;;;;;
;;;;;;;;
total_nr_ms2;int;;Number of measured MS2 spectra;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
RT_MS2_Q_000_025;float;;The time interval when the first 25 % (and corresponsing the others) of the total number of MS2 spectra are measured, divided by the RT_duration  (taken from paper Bittremieux et al. 2016);get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
RT_MS2_Q_025_050;float;;as above;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
RT_MS2_Q_050_075;float;;as above;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
RT_MS2_Q_075_100;float;;as above;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
MS1-TIC-Q2;float;;log2(50%-quantile / 25%-quantile of the actual TIC ) (measure for ESI-Stability, for details see paper Bittremieux et al. 2016);get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
MS1-TIC-Q3;float;;log2(75%-quantile / 50%-quantile of the actual TIC ) (measure for ESI-Stability, for details see paper Bittremieux et al. 2016);get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
MS1-TIC-Q4;float;;log2(100%-quantile / 75%-quantile of the actual TIC ) (measure for ESI-Stability, for details see paper Bittremieux et al. 2016);get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Total_Ion_Current_Max_Up_To_105;float;;The maximum of all TICs across all MS1 and MS2 spectra up to 105 minutes;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
nrProteins;;;;;;;;
nrProteingroups_unfiltered;;;;;;;;
psmZ1-5;;;;;;X;;
psm_missed 0-3;;;;;;;;
number-filtered-psms;;;PSMS filtered by an FDR-Score of 0.01;;;;;
psm-data (blob);BLOB;;PIA-output;pia.nf;;;;
number-filtered-peptides;;;Peptides filtered by an FDR-Score of 0.01;;;;;
peptide-data (blob);BLOB;;PIA-output;pia.nf;;;;
number-filtered-protein-groups;;;Protein-Groups filtered by an FDR-Score of 0.01;;;;;
protein-data (blob);BLOB;;PIA-output;pia.nf;;;;
timestamp;;;Unix Timestamp, when this raw-file was measured;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;;;;
total_num_features;int;;Total number of features found in raw file;get_features_in_raws.nf -> extract_from_featurexml.py;;;;
total_num_ident_features;int;;Total number of features, which have at least 1 identification mapped to them;get_features_in_raws.nf -> extract_from_featurexml.py;;X;;
num_feature_charge_1;;;Total number of features with charge 1;get_features_in_raws.nf -> extract_from_featurexml.py;;X;;
num_feature_charge_2;;;Total number of features with charge 2;get_features_in_raws.nf -> extract_from_featurexml.py;;X;;
num_feature_charge_3;;;Total number of features with charge 3;get_features_in_raws.nf -> extract_from_featurexml.py;;X;;
num_feature_charge_4;;;Total number of features with charge 4;get_features_in_raws.nf -> extract_from_featurexml.py;;X;;
num_feature_charge_5;;;Total number of features with charge 5;get_features_in_raws.nf -> extract_from_featurexml.py;;X;;
feature-data (blob);BLOB;;FeatureXML directly from OpenMS with annotated identification data;get_features_in_raws.nf -> extract_from_featurexml.py;;;;
fasta_file_name;;;Fasta-Plain-Filename(, concatenated by comma, if more);;;;;
search_parameter_file;;;The Comet-Search-Parameter-File;;;;;
captured_machine;;;The Machine which was used to measure the sample (FLI,QEXI,Other);;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
THERMO_EXTRA_Ion Injection Time (ms)_____pickle_zlib;73;;;;;;;
THERMO_EXTRA_LM m/z-Correction (ppm),LM Correction_____pickle_zlib;74;;;;;;;
THERMO_Scan_StartTime_____pickle_zlib;75;;;;;;;
THERMO_Scan_msLevel_____pickle_zlib;76;;;;;;;
THERMO_pump_pressure_bar_x_axis_____pickle_zlib;77;empty?;;;;;;
THERMO_pump_pressure_bar_y_axis_____pickle_zlib;78;;;;;;;
